hourly,TemperatureF,Wind SpeedMPH,Conditions
2014_01_01_00,25.0,3.5,Clear
2014_01_01_01,25.0,9.2,Clear
2014_01_01_02,24.1,9.2,Clear
2014_01_01_03,24.1,9.2,Clear
2014_01_01_04,24.1,Calm,Clear
2014_01_01_05,24.1,3.5,Clear
2014_01_01_06,25.0,4.6,Clear
2014_01_01_07,26.1,4.6,Clear
2014_01_01_08,28.0,5.8,Clear
2014_01_01_09,28.0,9.2,Clear
2014_01_01_10,28.9,10.4,Clear
2014_01_01_11,30.0,6.9,Mostly Cloudy
2014_01_01_12,30.9,Calm,Partly Cloudy
2014_01_01_13,32.0,8.1,Partly Cloudy
2014_01_01_14,32.0,8.1,Clear
2014_01_01_15,32.0,Calm,Overcast
2014_01_01_17,33.1,Calm,Clear
2014_01_01_18,32.0,4.6,Clear
2014_01_01_19,33.1,5.8,Scattered Clouds
2014_01_01_20,32.0,4.6,Overcast
2014_01_01_21,32.0,6.9,Overcast
2014_01_01_21,32.0,8.1,Overcast
2014_01_01_22,32.0,11.5,Overcast
2014_01_01_23,32.0,8.1,Overcast
