year,Temp,no_of_trips
2015,1.9,631
2015,10,2210
2015,10.9,2604
2015,12,853
2015,12.9,3109
2015,14,1772
2015,15.1,5806
2015,16,4022
2015,17.1,9555
2015,18,11004
2015,19,15750
2015,19.4,108
2015,19.9,22254
2015,21,21262
2015,21.2,1255
2015,21.9,16096
2015,23,17751
2015,24.1,21004
2015,24.8,1303
2015,25,17049
2015,26.1,25092
2015,26.6,603
2015,27,26933
2015,28,22564
2015,28.4,195
2015,28.9,32064
2015,3,14
2015,3.9,1040
2015,30,30714
2015,30.9,35181
2015,32,31764
2015,33.1,25828
2015,33.8,517
2015,34,37881
2015,35.1,49629
2015,35.6,3290
2015,36,55596
2015,37,60407
2015,37.4,7258
2015,37.9,74835
2015,39,70758
2015,39.2,4010
2015,39.9,63369
2015,41,85633
2015,42.1,75589
2015,42.8,7696
2015,43,66447
2015,44.1,107626
2015,44.6,10348
2015,45,94319
2015,46,104131
2015,46.4,4898
2015,46.9,120946
2015,48,104168
2015,48.2,3117
2015,48.9,114026
2015,5,227
2015,50,168601
2015,51.1,146722
2015,51.8,9071
2015,52,134765
2015,53.1,172639
2015,53.6,6349
2015,54,208805
2015,55,202998
2015,55.4,13829
2015,55.9,233172
2015,57,242998
2015,57.2,2942
2015,57.9,193974
2015,59,223976
2015,6.1,1088
2015,60.1,232268
2015,60.8,6722
2015,61,241061
2015,62.1,210134
2015,62.6,6183
2015,63,218146
2015,64,190894
2015,64.4,7962
2015,64.9,191402
2015,66,210527
2015,66.2,6659
2015,66.9,206552
2015,68,238233
2015,69.1,272490
2015,69.8,6564
2015,7,974
2015,70,280251
2015,71.1,274217
2015,71.6,5818
2015,72,253443
2015,73,282555
2015,73.4,9908
2015,73.9,282253
2015,75,261907
2015,75.2,16467
2015,75.9,325758
2015,77,363408
2015,78.1,320745
2015,78.8,871
2015,79,369977
2015,8.1,521
2015,80.1,320766
2015,80.6,8400
2015,81,297807
2015,82,310091
2015,82.4,1375
2015,82.9,267703
2015,84,208195
2015,84.2,3244
2015,84.9,171973
2015,86,143419
2015,87.1,123679
2015,88,95991
2015,89.1,58097
2015,9,1946
2015,90,29643
2015,91,40429
2015,91.9,24734
2015,93,17472
2015,93.9,6909
2015,95,1548
2015,96.1,3633
2014,10,2046
2014,10.4,2303
2014,10.9,215
2014,12,1877
2014,12.2,1025
2014,12.9,3289
2014,14,5215
2014,14.7,392
2014,15.1,141
2014,15.8,2930
2014,16,3385
2014,17.1,3093
2014,17.6,4701
2014,18,11867
2014,19,6316
2014,19.4,2738
2014,19.9,9875
2014,21,16697
2014,21.2,1522
2014,21.9,17717
2014,23,15473
2014,24.1,17448
2014,24.8,3677
2014,25,21560
2014,26.1,28389
2014,26.6,2446
2014,27,35657
2014,28,36934
2014,28.4,1004
2014,28.9,28231
2014,3.9,1123
2014,30,35468
2014,30.2,2162
2014,30.9,45157
2014,32,77558
2014,32.7,29
2014,33.1,53426
2014,33.8,7394
2014,34,45208
2014,34.9,80
2014,35.1,54964
2014,35.2,417
2014,35.6,11120
2014,36,79791
2014,36.1,4140
2014,37,64753
2014,37.4,6574
2014,37.6,1207
2014,37.9,53228
2014,38.5,1826
2014,39,57471
2014,39.2,18448
2014,39.9,77040
2014,41,106012
2014,42.1,74121
2014,42.8,10207
2014,43,76122
2014,44.1,84812
2014,44.6,11871
2014,45,77563
2014,46,95107
2014,46.4,2461
2014,46.9,93927
2014,48,74813
2014,48.2,956
2014,48.9,69568
2014,5,745
2014,50,115546
2014,51.1,91554
2014,51.8,3497
2014,52,109213
2014,53.1,126966
2014,53.6,3427
2014,54,104153
2014,55,117507
2014,55.4,2902
2014,55.9,144936
2014,57,155852
2014,57.2,1433
2014,57.9,116017
2014,59,150922
2014,6.1,277
2014,6.8,224
2014,60.1,166269
2014,60.8,8493
2014,61,172510
2014,62.1,201055
2014,62.6,21644
2014,63,228581
2014,64,204932
2014,64.4,10093
2014,64.9,191331
2014,66,237787
2014,66.2,16210
2014,66.9,271715
2014,68,293447
2014,69.1,276258
2014,69.8,27585
2014,7,191
2014,70,245041
2014,71.1,259965
2014,71.6,20924
2014,72,289470
2014,73,265238
2014,73.4,30893
2014,73.9,321940
2014,75,271919
2014,75.2,22523
2014,75.9,312171
2014,77,216215
2014,78.1,249135
2014,78.8,13481
2014,79,232523
2014,8.1,233
2014,8.6,615
2014,80.1,173233
2014,80.6,10173
2014,81,178287
2014,82,135566
2014,82.4,6249
2014,82.9,117278
2014,84,98675
2014,84.2,6627
2014,84.9,86639
2014,86,65116
2014,87.1,40757
2014,88,29561
2014,89.1,23122
2014,89.6,2176
2014,9,4214
2014,90,5603
2014,91,3299
2014,91.9,1343
