Year,Wind_speed,no_of_trips
2014,10.4,259573
2014,11.5,165624
2014,12.7,114039
2014,13.8,55202
2014,15,28900
2014,16.1,17398
2014,17.3,7636
2014,18.4,4503
2014,19.6,857
2014,20.7,3254
2014,21.9,232
2014,23,29
2014,3.5,1416147
2014,4.6,1430282
2014,5.8,1212373
2014,6.9,958119
2014,8.1,604955
2014,9.2,487059
2014,0,1527679
2015,10.4,362356
2015,11.5,175355
2015,12.7,94149
2015,13.8,57750
2015,15,34396
2015,16.1,21653
2015,17.3,11299
2015,18.4,5368
2015,19.6,4717
2015,20.7,2315
2015,3.5,1877011
2015,4.6,1806880
2015,5.8,1523146
2015,6.9,1105197
2015,8.1,762425
2015,9.2,441462
2015,0,1997324
